name,type,company_id,company_name,registration_date,status
AKYLAI KADYRBEK KYZY,Legal Representatives,C 77190,BLUEMAY ENTERPRISES LIMITED,"Sep 09, 2016",
AKYLAI KADYRBEK KYZY,Directors,C 77190,BLUEMAY ENTERPRISES LIMITED,"Sep 09, 2016",
AKYLAI KADYRBEK KYZY,Judicial Representatives,C 77190,BLUEMAY ENTERPRISES LIMITED,"Sep 09, 2016",
AKYLAI KADYRBEK KYZY,Secretaries,C 77190,BLUEMAY ENTERPRISES LIMITED,"Sep 09, 2016",
AKYLAI KADYRBEK KYZY,Shareholders,C 77190,BLUEMAY ENTERPRISES LIMITED,"Sep 09, 2016",
