name,type,company_id,company_name,registration_date,status
JACOB SALOMON BEN QUESSOUS,Legal Representatives,C 56792,BAY VENTURES LTD,"Jun 26, 2012",
JACOB SALOMON BEN QUESSOUS,Shareholders,C 56792,BAY VENTURES LTD,"Jun 26, 2012",
JACOB SALOMON BEN QUESSOUS,Judicial Representatives,C 56792,BAY VENTURES LTD,"Jun 26, 2012",
JACOB SALOMON BEN QUESSOUS,Directors,C 56792,BAY VENTURES LTD,"Jun 26, 2012",
JACOB SALOMON BEN QUESSOUS,Secretaries,C 56792,BAY VENTURES LTD,"Jun 26, 2012",
MOHAMED IMANE,Shareholders,C 49518,AQUAE YACHT SERVICE LIMITED,"Apr 30, 2010",
