name,type,company_id,company_name,registration_date,status
FARID BENNIS,Shareholders,C 53357,BIOLIFE HOLDINGS LIMITED,"Sep 01, 2011",
FARID BENNIS,Shareholders,C 53360,BIOLIFE PRODUCTS LIMITED,"Sep 01, 2011",
EMAD MOHAMED ELHADI ABU KARAZA,Legal Representatives,C 79155,AMAZON INTERNATIONAL COMPANY LIMITED,"Jan 18, 2017",
EMAD MOHAMED ELHADI ABU KARAZA,Directors,C 79155,AMAZON INTERNATIONAL COMPANY LIMITED,"Jan 18, 2017",
EMAD MOHAMED ELHADI ABU KARAZA,Judicial Representatives,C 79155,AMAZON INTERNATIONAL COMPANY LIMITED,"Jan 18, 2017",
EMAD MOHAMED ELHADI ABU KARAZA,Secretaries,C 79155,AMAZON INTERNATIONAL COMPANY LIMITED,"Jan 18, 2017",
EMAD MOHAMED ELHADI ABU KARAZA,Shareholders,C 79155,AMAZON INTERNATIONAL COMPANY LIMITED,"Jan 18, 2017",
JACQUELIN ADAMES DE BOYLAN,Shareholders,C 54961,AVATURE LTD.,"Jan 10, 2012",
