name,type,company_id,company_name,registration_date,status
GABRIELE BRAVI,Legal Representatives,C 25495,ANFIN HOLDINGS LIMITED,"Nov 25, 1999",
GABRIELE BRAVI,Directors,C 25495,ANFIN HOLDINGS LIMITED,"Nov 25, 1999",
GABRIELE BRAVI,Judicial Representatives,C 25495,ANFIN HOLDINGS LIMITED,"Nov 25, 1999",
EMILIO ANTELO REY,Legal Representatives,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
EMILIO ANTELO REY,Directors,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
EMILIO ANTELO REY,Judicial Representatives,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
EMILIO ANTELO REY,Shareholders,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
GEORGES KHAWAM CHAKAR,Shareholders,C 65134,ARMIER BAY MARITIME SERVICES LTD,"May 14, 2014",
