name,type,company_id,company_name,registration_date,status
ADEL SMAIL SI BOUEKAZ,Shareholders,C 64263,BELUGA HOLDINGS LIMITED,"Mar 17, 2014",
MOUFIDA SULLIVAN,Secretaries,C 23077,BETTAZI LIMITED,"Jun 12, 1998",
MOUFIDA SULLIVAN,Secretaries,C 55494,ARTEMIS RACING LTD,"Feb 29, 2012",
