name,type,company_id,company_name,registration_date,status
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Legal Representatives,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Judicial Representatives,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Directors,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Legal Representatives,C 27480,ANGLOGOLD FINANCE AUSTRALIA LIMITED,"Dec 21, 2000",
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Judicial Representatives,C 27480,ANGLOGOLD FINANCE AUSTRALIA LIMITED,"Dec 21, 2000",
CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR,Directors,C 27480,ANGLOGOLD FINANCE AUSTRALIA LIMITED,"Dec 21, 2000",
