name,type,company_id,company_name,registration_date,status
GAMAL HENDRAWAN WANENGPATI,Legal Representatives,C 38910,ARIES INVESTMENTS LIMITED,"Jun 14, 2006",
GAMAL HENDRAWAN WANENGPATI,Judicial Representatives,C 38910,ARIES INVESTMENTS LIMITED,"Jun 14, 2006",
GAMAL HENDRAWAN WANENGPATI,Directors,C 38910,ARIES INVESTMENTS LIMITED,"Jun 14, 2006",
HARTO KHUSUMO,Legal Representatives,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
SUTIKNO KHUSUMO,Legal Representatives,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
HARTO KHUSUMO,Directors,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
SUTIKNO KHUSUMO,Directors,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
HARTO KHUSUMO,Judicial Representatives,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
SUTIKNO KHUSUMO,Judicial Representatives,C 32103,ANEMI MARITIME CO. LTD.,"Sep 19, 2003",
