name,type,company_id,company_name,registration_date,status
ABDULRAHMAN MOHAMED BUKHATIR,Legal Representatives,C 46757,BG OVERSEAS INVESTMENTS LIMITED,"May 06, 2009",In Dissolution
ABDULRAHMAN MOHAMED BUKHATIR,Shareholders,C 46757,BG OVERSEAS INVESTMENTS LIMITED,"May 06, 2009",In Dissolution
ABDULRAHMAN MOHAMED BUKHATIR,Judicial Representatives,C 46757,BG OVERSEAS INVESTMENTS LIMITED,"May 06, 2009",In Dissolution
ABDULRAHMAN MOHAMED BUKHATIR,Directors,C 46757,BG OVERSEAS INVESTMENTS LIMITED,"May 06, 2009",In Dissolution
