name,type,company_id,company_name,registration_date,status
AHMED HUSSAIN A M AL-KHALAF,Legal Representatives,C 48010,BEDOUR YACHTS LIMITED,"Oct 23, 2009",
AHMED HUSSAIN A M AL-KHALAF,Directors,C 48010,BEDOUR YACHTS LIMITED,"Oct 23, 2009",
AHMED HUSSAIN A M AL-KHALAF,Judicial Representatives,C 48010,BEDOUR YACHTS LIMITED,"Oct 23, 2009",
AHMED HUSSAIN A M AL-KHALAF,Shareholders,C 48010,BEDOUR YACHTS LIMITED,"Oct 23, 2009",
SHEIKH MOHAMED FEISAL Q.F. AL-THANI,Legal Representatives,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
SHEIKH MOHAMED FEISAL Q.F. AL-THANI,Judicial Representatives,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
SHEIKH MOHAMED FEISAL Q.F. AL-THANI,Directors,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
