name,type,company_id,company_name,registration_date,status
LUIS FILIPE PEREIRA ROCHA BRITO,Legal Representatives,C 75716,BLUE SKY OPERATIONS LTD,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Directors,C 75716,BLUE SKY OPERATIONS LTD,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Judicial Representatives,C 75716,BLUE SKY OPERATIONS LTD,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Legal Representatives,C 75715,BLUE SKY SIX HOLDING LTD.,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Directors,C 75715,BLUE SKY SIX HOLDING LTD.,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Judicial Representatives,C 75715,BLUE SKY SIX HOLDING LTD.,"May 23, 2016",
LUIS FILIPE PEREIRA ROCHA BRITO,Shareholders,C 75715,BLUE SKY SIX HOLDING LTD.,"May 23, 2016",
