name,type,company_id,company_name,registration_date,status
NUBAR ALIYEVA,Directors,C 78383,ARGO NAVIS LIMITED,"Nov 30, 2016",
NUBAR ALIYEVA,Judicial Representatives,C 78383,ARGO NAVIS LIMITED,"Nov 30, 2016",
MUBARIZ MANSIMOV,Legal Representatives,C 32429,ARMADA HOLDING COMPANY LIMITED,"Nov 12, 2003",
MUBARIZ MANSIMOV,Judicial Representatives,C 32429,ARMADA HOLDING COMPANY LIMITED,"Nov 12, 2003",
MUBARIZ MANSIMOV,Directors,C 32429,ARMADA HOLDING COMPANY LIMITED,"Nov 12, 2003",
NIGAR KEATING,Legal Representatives,C 59307,BLUE MARITIME SHIPPING 6 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59307,BLUE MARITIME SHIPPING 6 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59307,BLUE MARITIME SHIPPING 6 CO. LTD,"Feb 13, 2013",
EMIL AGHAMALIEV,Legal Representatives,C 31137,BLUE SPRINTER MARITIME CO LTD,"Mar 14, 2003",
EMIL AGHAMALIEV,Directors,C 31137,BLUE SPRINTER MARITIME CO LTD,"Mar 14, 2003",
EMIL AGHAMALIEV,Judicial Representatives,C 31137,BLUE SPRINTER MARITIME CO LTD,"Mar 14, 2003",
NIGAR KEATING,Legal Representatives,C 59305,BLUE MARITIME SHIPPING 4 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59305,BLUE MARITIME SHIPPING 4 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59305,BLUE MARITIME SHIPPING 4 CO. LTD,"Feb 13, 2013",
